gender,marital_status,product_family,product_department,product_category,month_of_year,quarter,the_year,store_sales,store_cost,unit_sales,customer_count,fact_count
VARCHAR(30),VARCHAR(30),VARCHAR(30),VARCHAR(30),VARCHAR(30),SMALLINT,VARCHAR(30),SMALLINT,DECIMAL(10.4),DECIMAL(10.4),DECIMAL(10.4),INTEGER,INTEGER
F,M,Drink,Alcoholic Beverages,Beer and Wine,1,Q1,1997,318.7,124.162,160,48,50
F,M,Drink,Alcoholic Beverages,Beer and Wine,2,Q1,1997,258.99,104.4752,135,45,46
F,M,Drink,Alcoholic Beverages,Beer and Wine,3,Q1,1997,369.21,146.2172,162,50,54
F,M,Drink,Alcoholic Beverages,Beer and Wine,4,Q2,1997,311.71,127.2755,144,45,47
F,M,Drink,Alcoholic Beverages,Beer and Wine,5,Q2,1997,291.04,113.4136,143,45,48
F,M,Drink,Alcoholic Beverages,Beer and Wine,6,Q2,1997,318.21,118.9886,141,43,45
F,M,Drink,Alcoholic Beverages,Beer and Wine,7,Q3,1997,333.96,130.7357,169,46,53
F,M,Drink,Alcoholic Beverages,Beer and Wine,8,Q3,1997,266.7,103.3833,133,43,44
F,M,Drink,Alcoholic Beverages,Beer and Wine,9,Q3,1997,203.95,80.9588,106,32,37
F,M,Drink,Alcoholic Beverages,Beer and Wine,10,Q4,1997,194.85,77.9442,104,33,35
F,M,Drink,Alcoholic Beverages,Beer and Wine,11,Q4,1997,402.16,159.8112,180,48,60
F,M,Drink,Alcoholic Beverages,Beer and Wine,12,Q4,1997,378,151.9367,170,48,55
F,M,Drink,Beverages,Carbonated Beverages,1,Q1,1997,145.01,58.1531,76,21,22
F,M,Drink,Beverages,Carbonated Beverages,2,Q1,1997,224.05,85.7523,102,32,33
F,M,Drink,Beverages,Carbonated Beverages,3,Q1,1997,114.45,46.8124,69,22,23
F,M,Drink,Beverages,Carbonated Beverages,4,Q2,1997,115,45.9302,67,22,22
F,M,Drink,Beverages,Carbonated Beverages,5,Q2,1997,124.41,48.3752,76,25,25
F,M,Drink,Beverages,Carbonated Beverages,6,Q2,1997,163.38,63.7367,86,26,27
F,M,Drink,Beverages,Carbonated Beverages,7,Q3,1997,143.62,56.8373,71,20,21
F,M,Drink,Beverages,Carbonated Beverages,8,Q3,1997,127.48,51.3313,74,24,24
F,M,Drink,Beverages,Carbonated Beverages,9,Q3,1997,97.76,38.1771,52,19,19
F,M,Drink,Beverages,Carbonated Beverages,10,Q4,1997,173.16,68.5164,89,26,29
F,M,Drink,Beverages,Carbonated Beverages,11,Q4,1997,163.12,62.4917,84,27,28
F,M,Drink,Beverages,Carbonated Beverages,12,Q4,1997,137.07,54.3368,73,22,23
F,M,Drink,Beverages,Drinks,1,Q1,1997,123.24,50.854,57,16,16
F,M,Drink,Beverages,Drinks,2,Q1,1997,112.18,45.7372,60,17,18
F,M,Drink,Beverages,Drinks,3,Q1,1997,83.64,35.0955,39,12,12
F,M,Drink,Beverages,Drinks,4,Q2,1997,102.44,38.8331,44,17,17
F,M,Drink,Beverages,Drinks,5,Q2,1997,150.33,59.4799,57,18,18
F,M,Drink,Beverages,Drinks,6,Q2,1997,123.44,49.7104,56,18,18
F,M,Drink,Beverages,Drinks,7,Q3,1997,123.74,46.5162,58,18,18
F,M,Drink,Beverages,Drinks,8,Q3,1997,108.78,45.2165,43,12,13
F,M,Drink,Beverages,Drinks,9,Q3,1997,155.07,61.6465,58,17,19
F,M,Drink,Beverages,Drinks,10,Q4,1997,92.07,36.0531,39,11,11
F,M,Drink,Beverages,Drinks,11,Q4,1997,156.01,66.7558,66,22,22
F,M,Drink,Beverages,Drinks,12,Q4,1997,151.78,60.5213,67,22,23
F,M,Drink,Beverages,Hot Beverages,1,Q1,1997,211.73,81.722,95,30,31
F,M,Drink,Beverages,Hot Beverages,2,Q1,1997,198.83,79.258,81,26,28
F,M,Drink,Beverages,Hot Beverages,3,Q1,1997,203.38,79.5284,93,30,31
F,M,Drink,Beverages,Hot Beverages,4,Q2,1997,186.67,71.4336,82,25,27
F,M,Drink,Beverages,Hot Beverages,5,Q2,1997,206.9,82.8787,98,33,34
F,M,Drink,Beverages,Hot Beverages,6,Q2,1997,151.48,61.1934,65,19,20
F,M,Drink,Beverages,Hot Beverages,7,Q3,1997,182.26,70.719,78,26,27
F,M,Drink,Beverages,Hot Beverages,8,Q3,1997,155.03,61.1831,68,22,22
F,M,Drink,Beverages,Hot Beverages,9,Q3,1997,185.81,73.567,82,26,28
F,M,Drink,Beverages,Hot Beverages,10,Q4,1997,121.66,46.6132,59,18,19
F,M,Drink,Beverages,Hot Beverages,11,Q4,1997,229.17,91.5703,96,31,33
F,M,Drink,Beverages,Hot Beverages,12,Q4,1997,288.94,118.9315,136,41,43
F,M,Drink,Beverages,Pure Juice Beverages,1,Q1,1997,116.66,46.4591,54,17,17
F,M,Drink,Beverages,Pure Juice Beverages,2,Q1,1997,141.16,53.7073,75,23,24
F,M,Drink,Beverages,Pure Juice Beverages,3,Q1,1997,157.09,59.8711,75,24,24
F,M,Drink,Beverages,Pure Juice Beverages,4,Q2,1997,119.26,47.061,62,20,20
F,M,Drink,Beverages,Pure Juice Beverages,5,Q2,1997,160.88,63.5388,90,27,28
F,M,Drink,Beverages,Pure Juice Beverages,6,Q2,1997,126.13,51.1628,69,20,21
F,M,Drink,Beverages,Pure Juice Beverages,7,Q3,1997,183.4,77.2764,90,31,33
F,M,Drink,Beverages,Pure Juice Beverages,8,Q3,1997,180.92,67.7271,86,27,28
F,M,Drink,Beverages,Pure Juice Beverages,9,Q3,1997,90.27,37.3738,49,15,16
F,M,Drink,Beverages,Pure Juice Beverages,10,Q4,1997,140.45,57.4333,67,18,19
F,M,Drink,Beverages,Pure Juice Beverages,11,Q4,1997,212.27,81.9694,99,30,31
F,M,Drink,Beverages,Pure Juice Beverages,12,Q4,1997,149.7,62.0107,77,24,24
F,M,Drink,Dairy,Dairy,1,Q1,1997,69.06,27.5534,51,18,18
F,M,Drink,Dairy,Dairy,2,Q1,1997,100.87,39.2441,76,25,25
F,M,Drink,Dairy,Dairy,3,Q1,1997,151.44,60.5939,83,29,29
F,M,Drink,Dairy,Dairy,4,Q2,1997,136.71,52.2879,77,25,25
F,M,Drink,Dairy,Dairy,5,Q2,1997,149.83,55.8538,87,26,26
F,M,Drink,Dairy,Dairy,6,Q2,1997,143.68,57.3881,71,23,24
F,M,Drink,Dairy,Dairy,7,Q3,1997,166.66,68.0892,92,31,33
F,M,Drink,Dairy,Dairy,8,Q3,1997,144.97,58.8686,89,26,27
F,M,Drink,Dairy,Dairy,9,Q3,1997,124.96,50.6556,88,27,28
F,M,Drink,Dairy,Dairy,10,Q4,1997,143.15,53.3358,75,26,26
F,M,Drink,Dairy,Dairy,11,Q4,1997,141.02,54.7932,84,28,28
F,M,Drink,Dairy,Dairy,12,Q4,1997,165.49,68.4937,98,32,32
F,M,Food,Baked Goods,Bread,1,Q1,1997,344.7,140.6266,176,51,54
F,M,Food,Baked Goods,Bread,2,Q1,1997,289.81,115.4363,141,41,46
F,M,Food,Baked Goods,Bread,3,Q1,1997,403.63,154.629,188,56,62
F,M,Food,Baked Goods,Bread,4,Q2,1997,363.91,147.0463,157,46,49
F,M,Food,Baked Goods,Bread,5,Q2,1997,280.42,115.8846,136,40,46
F,M,Food,Baked Goods,Bread,6,Q2,1997,352.55,136.5305,152,46,49
F,M,Food,Baked Goods,Bread,7,Q3,1997,370.86,149.6086,163,45,49
F,M,Food,Baked Goods,Bread,8,Q3,1997,242.73,98.3614,117,35,37
F,M,Food,Baked Goods,Bread,9,Q3,1997,321.13,129.6747,163,50,53
F,M,Food,Baked Goods,Bread,10,Q4,1997,214.44,84.2197,112,34,35
F,M,Food,Baked Goods,Bread,11,Q4,1997,301.31,121.3166,146,43,48
F,M,Food,Baked Goods,Bread,12,Q4,1997,412.21,158.242,197,61,63
F,M,Food,Baking Goods,Baking Goods,1,Q1,1997,415.24,168.4469,230,59,73
F,M,Food,Baking Goods,Baking Goods,2,Q1,1997,306.22,117.0879,171,49,55
F,M,Food,Baking Goods,Baking Goods,3,Q1,1997,373.28,146.5845,189,55,59
F,M,Food,Baking Goods,Baking Goods,4,Q2,1997,278.9,112.2919,160,47,51
F,M,Food,Baking Goods,Baking Goods,5,Q2,1997,310.57,121.4317,152,49,53
F,M,Food,Baking Goods,Baking Goods,6,Q2,1997,274.93,105.864,148,46,49
F,M,Food,Baking Goods,Baking Goods,7,Q3,1997,249.56,99.9593,147,47,51
F,M,Food,Baking Goods,Baking Goods,8,Q3,1997,272.46,108.7231,153,45,49
