time_id,customer_id,store_sales,store_cost,unit_sales,fact_count
INTEGER,INTEGER,DECIMAL(10.4),DECIMAL(10.4),DECIMAL(10.4),INTEGER
371,6280,3.12,1.1418,5,2
371,4018,17.78,6.6696,9,4
371,1418,14.38,5.4616,7,4
371,4382,3.88,1.7072,2,1
371,1293,12.03,5.8387,6,4
394,9305,8.45,3.4203,5,3
394,5649,12.76,4.931,5,3
394,6319,5.73,2.1811,4,3
394,1771,23.13,8.4602,8,5
394,3211,18.53,7.3591,6,5
376,4217,18.52,7.2446,6,3
376,4772,23.44,10.3696,12,7
376,4787,12.51,4.6456,6,4
376,2508,15.38,6.4413,6,4
376,1493,13.74,5.2565,8,6
395,8178,19.29,7.3091,11,6
395,7525,26.24,9.7533,11,7
395,3628,13.61,4.9398,8,5
395,3182,13.02,5.289,10,5
395,8878,7.13,2.9379,3,2
395,5164,23.09,8.8811,12,7
374,8854,6.5,2.7658,4,3
374,599,10.56,3.8615,4,3
374,9617,5.18,2.0672,2,2
374,2741,18.18,6.3966,9,4
374,1627,9.06,3.6288,6,3
374,4863,19.82,7.2695,10,4
404,4600,13.31,5.0021,5,4
404,10198,12.42,4.7502,5,2
404,6403,7.78,2.9852,4,2
404,8177,22.15,8.7507,10,7
404,5649,9.56,4.3192,4,2
401,1627,22.08,9.047,7,4
401,4772,11.08,4.6858,4,3
401,2180,5.99,2.3079,5,2
401,8147,1.46,0.5402,2,1
401,7053,13.19,5.906,7,4
420,8983,5.04,1.624,3,2
420,1333,39.37,15.5806,15,6
420,5188,37.71,15.7089,16,6
420,2965,22.72,8.7069,9,6
420,4645,9.98,3.6754,4,3
407,8854,17.36,7.5462,10,5
407,8613,17.26,7.5982,9,6
407,5015,16.55,5.5223,6,4
407,10179,3.1,1.1386,3,2
407,3779,22.37,8.2974,11,7
399,7008,4.81,1.7391,4,3
399,3883,5.95,1.9773,2,2
399,10261,9.4,3.2022,3,2
399,2126,23.6,8.8147,9,6
399,6319,3.99,1.3892,2,2
446,5873,18.23,6.5594,7,4
446,5397,14,5.5892,7,4
446,206,11.97,4.5817,7,4
446,1493,5.58,2.5458,3,2
446,7656,15.9,6.2532,6,4
454,7192,20.83,9.8495,9,4
454,3739,11.64,4.3494,4,2
454,8572,15.66,6.117,6,5
454,5188,11.54,4.2744,10,4
454,6319,10.66,3.5652,6,3
454,4563,14.87,5.7487,7,4
430,9618,13.52,5.8073,5,4
430,7961,13.01,5.3415,5,4
430,6403,13.7,5.4115,7,6
430,1333,5.76,2.3616,2,1
430,5649,8.55,3.4965,5,2
430,6468,18.28,7.071,11,5
431,9278,15.45,6.2158,9,7
431,8177,11.84,4.6896,6,4
431,854,8.87,3.7776,4,3
