time_id,city,state_province,country,store_sales,store_cost,unit_sales,fact_count
INTEGER,VARCHAR(30),VARCHAR(30),VARCHAR(30),DECIMAL(10.4),DECIMAL(10.4),DECIMAL(10.4),INTEGER
371,Anacortes,WA,USA,21.38,8.3106,14,7
371,Sedro Woolley,WA,USA,29.81,12.5083,15,8
394,Bellingham,WA,USA,8.45,3.4203,5,3
394,Sedro Woolley,WA,USA,41.62,15.5723,17,11
394,Anacortes,WA,USA,18.53,7.3591,6,5
376,Bellingham,WA,USA,60.15,23.588,26,17
376,Sedro Woolley,WA,USA,23.44,10.3696,12,7
395,Anacortes,WA,USA,89.36,33.8212,45,27
395,Sedro Woolley,WA,USA,13.02,5.289,10,5
374,Anacortes,WA,USA,31.5,12.1025,16,9
374,Sedro Woolley,WA,USA,28.74,10.2581,13,7
374,Bellingham,WA,USA,9.06,3.6288,6,3
404,Anacortes,WA,USA,25.73,9.7523,10,6
404,Bellingham,WA,USA,7.78,2.9852,4,2
404,Sedro Woolley,WA,USA,31.71,13.0699,14,9
401,Bellingham,WA,USA,28.07,11.3549,12,6
401,Sedro Woolley,WA,USA,12.54,5.226,6,4
401,Anacortes,WA,USA,13.19,5.906,7,4
420,Anacortes,WA,USA,44.41,17.2046,18,8
420,Bellingham,WA,USA,60.43,24.4158,25,12
420,Sedro Woolley,WA,USA,9.98,3.6754,4,3
407,Anacortes,WA,USA,51.17,20.6667,25,15
407,Sedro Woolley,WA,USA,3.1,1.1386,3,2
407,Bellingham,WA,USA,22.37,8.2974,11,7
399,Sedro Woolley,WA,USA,18.2,6.3305,9,7
399,Bellingham,WA,USA,29.55,10.792,11,8
446,Anacortes,WA,USA,32.23,12.1486,14,8
446,Sedro Woolley,WA,USA,27.87,10.8349,13,8
446,Bellingham,WA,USA,5.58,2.5458,3,2
454,Bellingham,WA,USA,32.37,14.1239,19,8
454,Anacortes,WA,USA,11.64,4.3494,4,2
454,Sedro Woolley,WA,USA,41.19,15.4309,19,12
430,Anacortes,WA,USA,19.28,8.1689,7,5
430,Bellingham,WA,USA,44.99,17.824,23,15
430,Sedro Woolley,WA,USA,8.55,3.4965,5,2
431,Anacortes,WA,USA,34.67,14.1018,17,14
431,Sedro Woolley,WA,USA,29.73,12.0271,14,9
436,Sedro Woolley,WA,USA,32.73,12.4653,15,9
436,Bellingham,WA,USA,23.19,9.0758,13,7
436,Anacortes,WA,USA,18.15,8.1706,8,5
479,Sedro Woolley,WA,USA,37.7,15.8212,18,13
479,Anacortes,WA,USA,31.4,13.2811,14,11
464,Anacortes,WA,USA,49.69,20.1186,27,20
464,Bellingham,WA,USA,21.91,8.9692,9,5
464,Sedro Woolley,WA,USA,7.6,3.1152,5,3
480,Sedro Woolley,WA,USA,39.49,16.5775,19,11
480,Bellingham,WA,USA,26.04,10.7866,12,7
480,Anacortes,WA,USA,17.37,7.3177,9,6
484,Bellingham,WA,USA,29.32,11.7472,14,10
484,Sedro Woolley,WA,USA,10.1,4.3113,6,4
484,Anacortes,WA,USA,27.65,10.3181,11,8
462,Anacortes,WA,USA,88.12,35.2177,43,24
462,Bellingham,WA,USA,5.87,2.4415,5,3
462,Sedro Woolley,WA,USA,6.52,2.4452,3,2
514,Sedro Woolley,WA,USA,34.7,13.6395,19,11
514,Bellingham,WA,USA,49.58,19.4192,20,13
503,Sedro Woolley,WA,USA,15.21,6.4839,9,8
503,Bellingham,WA,USA,23.02,9.5804,9,5
503,Anacortes,WA,USA,15.92,5.9134,9,6
516,Bellingham,WA,USA,26.28,9.6457,12,8
516,Anacortes,WA,USA,33.55,13.9248,17,13
516,Sedro Woolley,WA,USA,11.49,4.713,5,3
497,Sedro Woolley,WA,USA,16.53,6.417,10,7
497,Anacortes,WA,USA,32.27,13.1001,16,10
497,Bellingham,WA,USA,18.68,7.2044,8,6
504,Sedro Woolley,WA,USA,42.24,18.3766,21,13
504,Bellingham,WA,USA,37.16,13.843,20,11
527,Anacortes,WA,USA,28.57,12.4049,17,10
527,Sedro Woolley,WA,USA,5.75,2.253,3,2
527,Bellingham,WA,USA,13.23,5.6533,8,6
545,Bellingham,WA,USA,10.17,4.4187,5,3
545,Anacortes,WA,USA,39.21,15.5098,17,9
529,Bellingham,WA,USA,16.7,6.615,9,5
529,Sedro Woolley,WA,USA,27.67,10.5329,11,8
539,Bellingham,WA,USA,15.4,6.5687,9,7
539,Sedro Woolley,WA,USA,17.11,6.3506,7,5
