product_id,time_id,warehouse_id,store_id,units_ordered,units_shipped,warehouse_sales,warehouse_cost,supply_time,store_invoice
INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,DECIMAL(10.4),DECIMAL(10.4),SMALLINT,DECIMAL(10.4)
350,369,2,2,42,42,23.961,11.7409,6,13.7369
1021,369,2,2,70,70,31.598,15.483,7,18.1151
1397,369,2,2,87,82,63.3204,22.1621,5,25.708
267,369,2,2,94,94,28.8674,12.1243,5,13.8217
1270,369,2,2,44,44,37.8752,13.6351,3,16.0894
234,369,2,2,12,4,4.644,1.7647,4,2.0823
1370,369,2,2,15,15,13.566,5.2907,5,6.1901
1493,369,2,2,32,32,68.4288,24.6344,5,28.3296
710,369,2,2,30,30,20.349,11.5989,4,13.2227
354,369,2,2,16,16,12.96,6.6096,3,7.4028
277,369,2,2,49,49,56.6832,17.5718,5,20.2076
94,369,2,2,95,95,34.162,12.9816,6,14.9288
1130,391,2,2,92,92,69.874,25.1546,4,28.9278
1362,391,3,3,52,52,34.0912,16.7047,4,19.8786
1139,391,3,3,49,49,78.4784,28.2522,2,33.0551
662,391,3,3,30,30,34.5,13.8,2,16.284
119,391,3,3,53,53,62.8368,36.4453,3,41.1832
190,391,3,3,60,60,127.908,52.4423,3,59.2598
806,391,3,3,85,85,106.08,63.648,2,70.6493
103,391,3,3,94,94,39.292,16.8956,2,19.4299
240,391,3,3,26,26,11.8508,4.5033,2,5.0887
656,391,3,3,62,62,90.706,48.0742,2,54.3238
552,391,3,3,91,91,19.5195,9.9549,3,11.4481
36,391,3,3,40,40,31.68,13.9392,3,15.6119
1150,371,3,3,90,90,129.195,71.0573,3,83.8476
1406,371,3,3,30,30,6.216,2.1756,1,2.4802
224,371,3,3,74,74,44.807,18.3709,1,21.6777
1067,371,3,3,50,15,8.352,3.5914,4,4.166
97,371,3,3,44,44,14.7972,8.2864,4,9.9437
1034,371,3,3,71,71,78.5118,42.3964,3,48.7559
197,371,3,3,83,83,128.0109,48.6441,4,57.4
734,371,3,3,47,1,0.2268,0.068,3,0.0802
465,373,3,3,63,63,57.6135,30.5352,3,36.0315
1508,373,3,3,40,2,2.7612,1.0216,4,1.1953
1498,373,3,3,18,18,19.872,10.9296,3,13.0062
1115,373,3,3,25,25,33.75,19.9125,3,23.6959
705,373,3,3,50,50,19.8,11.088,1,13.0838
1521,373,3,3,60,20,5.46,2.2932,2,2.5455
632,373,3,3,99,70,33.698,12.8052,4,14.4699
343,375,3,3,29,29,21.344,8.5376,3,9.4767
1093,375,3,3,85,85,126.5905,49.3703,3,58.7507
1549,375,3,3,35,3,1.5048,0.5869,3,0.6573
